1. Какую ягоду в средние века прозвали «гусиной» за то, что ее было принято добавлять в блюда из птицы?;Клубнику;Бруснику;+ Крыжовник
2. Плоды, какого дерева с точки зрения ботаники являются яблоками, а в народе считаются ягодами?;Боярышник;+ Рябина;Шиповник
3. Из каких ягод получают ценное масло, широко используемое в косметологии и медицине?;Терн;+ Облепиха;Барбарис
4. Как назывался культовый фильм В. Шукшина, вышедший в прокат в 1973 году?;«Сладкая ягода»;+ «Калина красная»;«Кудрявая рябина»
5. Какие культуры скрестил в 1923 году американец Р. Бойзен, чтобы вывести новое растение, получившее наименование – «Бойзенова ягода»?;Голубику и тутовник;Жимолость и жожоба;+ Малину и ежевику
6. В виде, какой ягоды вручают приз за худшую кинопремьеру года?;«Гнилая черешня»;«Недозрелая смородина»;+ «Золотая малина»
7. Что в переводе с тюркского языка означает слово «кизил»?;Кислый;+ Красный;Колючий
8. Как звали товарища Чиполлино, носившего графский титул?;Виноградик;+ Вишенка;Изюмчик
9. О какой ягоде вспоминают при упоминании о ложных измышлениях и грубом вранье?;+ Клюква;Черника;Шиповник
10. Какая марка автомобилей носит «ягодное» название?;Нива;Москвич;+ Лада1
