1. Как в старину называли мешочек, в котором носили деньги?;Кисет;+ Калита;Саше
2. Рублевую купюру, какого достоинства в Российской империи окрестили «катенькой»?;Десять;Пятьдесят;+ Сто
3. Какой элемент одежды, судя по пословице, запасливые люди использовали в качестве тайника для денег?;Пояс;Шапку;+ Чулки
4. Кто придумал для золотых монет прозвище «Желтый Дьявол»?;И. Гете;+ М. Горький;К. Маркс
5. Как назывался глиняный сосуд, куда в древности, в качестве копилки прятали монеты?;Кувшинка;Пустышка;+ Кубышка
6. Каким номиналом обладал целковый?;50 копеек;+ 1 рубль;2 рубля
7. В котором из крылатых выражений речь идет о деньгах?;+ Зарывать талант в землю;Бить баклуши;Сорок сороков
8. Национальный банк, какой страны выпускает в обращение разменные монетки с названием «липа»?;Польша;Болгария;+ Хорватия
9. Какой придворный чин существовал в России до 17 века?;Полтинник;+ Стольник;Алтынец
10. Как именовались монеты, которыми согласно библейским сказаниям, пожертвовала бедная вдова в Иерусалимском храме?;Мина;+ Лепта;Обо
