1. Что представляет собой «гуслянка», которую готовят жители Карпатских гор?;Густой суп с гусиным мясом;Настойка на лесных ягодах;+ Заквашенное кипяченое молоко
2. Бутылку, с каким напитком в старину при спуске на воду разбивали о борт корабля?;С морской водой;+ С красным вином;С ромом
3. Что является главным растительным сырьем для изготовления традиционного испанского освежающего напитка – орчада?;Чечевица;Овёс;+ Чуфа
4. Откуда родом кефир?;Киргизия;Нидерланды;+ Карачаево-Черкесия
5. Под каким названием первоначально продавался замороженный сок на палочке?;«Гостинцы Санты»;«Фруктовые ледышки»;+ «Папины сосульки»
6. Где производят виньяк – бренди на основе виноградного спирта?;Франция;Турция;+ Сербия
7. Специфическим привкусом, какого полезного ископаемого обладает минвода «Нафтуся», добываемая на территории Трускавца (Украина)?;Известняка;Йода;+ Нефти
8. Какой национальный алкогольный напиток делают из сахарного тростника в Бразилии?;Текила;+ Кашаса;Пастис
9. Чьи зерна бросают в итальянский ликер самбука, при его подаче «con mosca» («с мухами»)?;Пшеницы;Риса;+ Кофе
10. Какая страна считается родиной писко?;Польша;+ Перу;Пакистан
