1. Столица, какой африканской державы названа по имени президента США?;Нигерии;+ Либерии;Эфиопии
2. Обнаружение прослушивающих устройств, в каком отеле послужило поводом для импичмента Р. Никсона?;«Хилтон»;«Риц»;+ «Уотергейт»
3. Какая популярная игрушка обязана своим именем Теодору Рузвельту?;Резиновый утенок;+ Плюшевый мишка;Деревянная лошадка
4. В каком городе погиб Д. Кеннеди?;Сиэтл;+ Даллас;Чикаго
5. Американскую банкноту, с каким номиналом украшает портретное изображение А. Линкольна?;1;+ 5;50
6. Памятник, кому из американских лидеров воздвигнут в столице Косово – Приштине?;Р. Рейгану;+ Б. Клинтону;Д. Картеру
7. О какой спортивной игре написал книгу Д. Трамп?;Теннис;Баскетбол;+ Гольф
8. Какой штат носит фамилию 1-ого президента Соединенных Штатов?;Алабама;+ Вашингтон;Теннесси
9. Что багдадский журналист бросил в Д. Буша во время его встречи с представителями СМИ?;+ Ботинок;Гранату;Яйцо
10. Какое второе официальное имя у экс-лидера США Барака Обамы?;Стэнли;Уокер;+ Хуссей
